Title,URL,Keywords,FocusedAt
管理101,https://www.zhihu.com/question/303219114/answer/536492312,"管理, 领导, 组织伦理",2024-12-24
家族基金,https://www.zhihu.com/question/579248011/answer/2849908199,"财富观, 策略, 家族, 家族构建, 会计",2024-12-24
恐惧游戏,https://afdian.com/p/e77f366e848311ef9b9b52540025c377,"策略, 考验, 亲子关系, 文化, 中国, 子女教育",2024-12-24
榜样的力量,https://www.zhihu.com/question/6550689519/answer/62375171238?utm_psn=1854787503392960513,"榜样, 教育, 偶像崇拜, 亲子关系, 子女教育",2024-12-23
反骚扰,https://www.zhihu.com/question/625687555/answer/3247068566,"SOP, 策略, 两性关系, 维权, 性骚扰, 自然法",2024-12-23
慈力线,https://www.zhihu.com/question/432806147/answer/2540409638,"伦理, 亲子关系, 孝, 子女教育",2024-12-23
吃干与抹净,https://afdian.com/p/3592f5bec07c11efafbf52540025c377,"策略, 基本技能, 会计, 亲密关系, 驱动力, 顺势而为, 学习",2024-12-22
低估值,https://www.zhihu.com/question/402690394/answer/1311486933,"策略, 风险管理, 股票, 金融, 投资",2024-12-22
低贱的事情,https://www.zhihu.com/question/356835825/answer/955654925,"态度, 职业, 职业伦理, 子女教育",2024-12-22
新手村之王,https://afdian.com/p/cb590742bfef11ef8ad25254001e7c00,"怀疑的艺术, 恋爱, 亲密关系, 语文",2024-12-21
一点傲骨,https://www.zhihu.com/question/7183787129/answer/60801552790?utm_psn=1853926706009735168,"策略, 反自欺, 骨气, 平等, 择善固执, 自欺欺人",2024-12-21
大而细,https://afdian.com/p/1c9b2da0bf9c11ef9f6252540025c377,"策略, 决策, 会计",2024-12-21
不一而足,https://www.zhihu.com/question/654214301/answer/3506978108,"策略, 伦理, 亲密关系, 自然法, 自由",2024-12-21
简明格言,https://www.zhihu.com/question/293390085/answer/726784502,"策略, 反抑郁, 怀疑的艺术, 人际交往",2024-12-21
喜怒不形于色,https://www.zhihu.com/question/654067740/answer/3482809236,"成熟, 人际交往, 社会化",2024-12-21
不必勉强,https://www.zhihu.com/question/661407790/answer/60303394698?utm_psn=1853704948077965312,"婚姻, 两性关系, 女权, 亲密关系, 自然法",2024-12-20
偷油贼,https://www.zhihu.com/question/4725937475/answer/60279824404?utm_psn=1853665435356106752,"快乐, 旷野, 劳动, 情绪价值, 神性享乐",2024-12-20
无语言的思考,https://www.zhihu.com/question/286929436/answer/452288883,"怀疑的艺术, 思考, 语言, 直觉",2024-12-20
求之不得,https://www.zhihu.com/question/59242753/answer/2020495838,"爱, 宽容, 亲密关系, 人际交往, 原谅",2024-12-20
大炼钢铁,https://www.zhihu.com/question/5658217216/answer/59667067504?utm_psn=1853390385713405952,"从众, 反抑郁, 怀疑的艺术, 宽容",2024-12-19
好八戒,https://afdian.com/p/5220e236be2411efb6bc52540025c377,"策略, 方法论, 子女教育",2024-12-19
尖叫的蒲公英,https://afdian.com/p/97a64e14263e11ef8f0c52540025c377,"国际关系, 国际政治, 世界史, 印度, 政治",2024-12-19
硬,https://www.zhihu.com/question/404679467/answer/3080359522,"功夫, 国际关系, 国际政治, 印度",2024-12-19
实力差距,https://afdian.com/p/8cc305debef411ee9b105254001e7c00,"国际关系, 军事, 历史, 印度, 中国",2024-12-19
快乐的成本,https://afdian.com/p/bcc454e6bde911ef9cf352540025c377,"错得对, 反抑郁, 快乐",2024-12-18
lowpoly,https://afdian.com/p/1094028cbd5a11efa96652540025c377,"标签化, 补弱/补强, 自我价值, 自我认知",2024-12-18
不配的天神,https://www.zhihu.com/question/660929832/answer/3563707846,"爱, 亲密关系, 自卑",2024-12-18
渐行渐远,https://www.zhihu.com/question/559219837/answer/2727987830,"朋友, 人际关系, 人际交往, 社交",2024-12-18
假面,https://www.zhihu.com/question/21059033/answer/1778974150,"爱, 人际关系, 社会化, 尊重",2024-12-18
人才流失,https://www.zhihu.com/question/55078788/answer/2079862263,"精英, 历史, 人才, 中国",2024-12-17
高端人才,https://www.zhihu.com/question/550091305/answer/2698329657,"历史, 人才, 市场, 需求, 中国",2024-12-17
自下而上,https://afdian.com/p/6bcccf56bc4411efb99852540025c377,"财富观, 策略, 亲子关系, 亲子教育, 子女教育",2024-12-16
婚姻底气,https://afdian.com/p/21793d20bbf111ef935952540025c377,"爱, 底气, 反脆弱, 亲密关系",2024-12-16
没得沟通的问题,https://afdian.com/p/bf5ebaa8bbc211efa60952540025c377,"策略, 沟通, 亲子关系, 社会化",2024-12-16
哄哄,https://www.zhihu.com/question/519805268/answer/56821712945?utm_psn=1852082233516630016,"爱, 成熟, 会计, 亲密关系, 社会化",2024-12-16
作为信仰的科学,https://www.zhihu.com/question/305176409/answer/551275717,"怀疑的艺术, 技术, 科学, 信仰",2024-12-16
维特观鲨,https://www.zhihu.com/question/665637933/answer/17978157893,"反抑郁, 怀疑的艺术, 历史, 两性关系",2024-12-16
一辉,https://www.zhihu.com/question/565644317/answer/2822749014,"科学, 信仰, 意识形态, 宗教",2024-12-16
爱的核心,https://zhuanlan.zhihu.com/p/12881832004?utm_psn=1852040516188905472,"爱, 劳动",2024-12-15
冤枉钱,https://afdian.com/p/a91b9008bb1e11ef937c52540025c377,"财富观, 价值, 价值观, 教训, 会计",2024-12-15
孤独的孔明,https://afdian.com/p/3ec56252e4a911ee9eed52540025c377,"孤独, 人际关系, 自然法, 自我认知",2024-12-15
5G,https://www.zhihu.com/question/314766480/answer/708378659,"5G, 技术, 科技",2024-12-15
邋遢的黄蓉,https://afdian.com/p/31265432945611efac845254001e7c00,"策略, 美, 社会化, 审美, 形象管理",2024-12-14
博士伦,https://www.zhihu.com/question/291597382/answer/3181365568,"博士, 反脆弱, 社会化, 事业, 职业, 职业规划",2024-12-13
潜藏无形,https://www.zhihu.com/question/422912586/answer/1496227069,"风险管理, 教育, 权柄, 权力",2024-12-13
缅北王,https://afdian.com/p/6ed831bab88c11ef8c0952540025c377,"怀疑的艺术, 考验, 伦理, 权柄, 人际交往, 人性, 自然法",2024-12-12
女武者,https://www.zhihu.com/question/24116337/answer/2086425710,"安全, 暴力, 决心, 两性差异, 女性, 尚武, 自卫",2024-12-12
恐怖主义,https://www.zhihu.com/question/22660577/answer/2086971934,"国际关系, 国际政治, 恐怖主义, 意识形态, 战争",2024-12-12
女子防身,https://www.zhihu.com/question/417803846/answer/1495114196,"安全, 女性, 尚武, 自卫",2024-12-12
两面鼓,https://www.zhihu.com/question/400968076/answer/3576436867,"贵族, 历史, 世界史, 文化, 中国",2024-12-11
汉字基准字体,https://www.zhihu.com/question/437348189/answer/1891816228,"审美, 文化, 艺术, 中国, 字体",2024-12-11
居高临下,https://www.zhihu.com/question/652536633/answer/3465004760,"历史, 文化, 中国",2024-12-11
too nice,https://afdian.com/p/95f23b68b73a11efb4225254001e7c00,"教育, 社会化, 子女教育",2024-12-10
远小人,https://afdian.com/p/f2878accb6f411efb92a52540025c377,"策略, 功夫, 人际关系, 威慑",2024-12-10
自脱罗网,https://afdian.com/p/57195a605a2011efa55052540025c377,"亲子关系, 权柄, 子女教育",2024-12-10
你爱你,https://afdian.com/p/3b48ab6038b511ef991452540025c377,"爱, 策略, 自我, 自我认知",2024-12-10
意识上传,https://www.zhihu.com/question/419475427/answer/1875579544,"怀疑的艺术, 技术, 科普, 伦理, 意识",2024-12-10
错过的和沉没的,https://www.zhihu.com/question/55774089/answer/51764629928?utm_psn=1849733251628924928,"爱, 净输出, 可持续性, 亲密关系",2024-12-09
性骚扰,https://www.zhihu.com/question/438295405/answer/1671537986,"道德, 道德主义, 伦理, 性骚扰",2024-12-09
性骚扰共识,https://www.zhihu.com/question/599195837/answer/3014751915,"策略, 社会化, 性骚扰, 自然法",2024-12-09
多了一道五花肉,https://www.zhihu.com/question/662365068/answer/3583109670,"策略, 性骚扰, 自然法, 自由",2024-12-09
包容与忍耐,https://afdian.com/p/d0f65b26b5b511ef823b52540025c377,"爱, 包容, caritas, 忍耐, 痛苦",2024-12-08
支持的反对,https://afdian.com/p/d182eed6b58f11ef91305254001e7c00,"策略, 反对, 亲子关系",2024-12-08
穷金,https://afdian.com/p/34a2898ab57311efa53752540025c377,"财富, 财富观, 价值观, 苦难, 贫穷, 子女教育",2024-12-08
手心打手背,https://www.zhihu.com/question/637053291/answer/3391988520,"公众人物, 商业, 职业伦理, 自媒体",2024-12-08
志愿无先知,https://www.zhihu.com/question/609423843/answer/3100918712,"傲慢, 公众人物, 命运, 权柄, 预言, 自然法",2024-12-08
真假客套,https://afdian.com/p/393c2096b52811efa0a352540025c377,"策略, 人际交往, 社会化, 真诚",2024-12-07
约伯,https://www.zhihu.com/question/20365357/answer/623230181,"苦难, 神学, 信仰, 宗教",2024-12-07
信仰是什么,https://www.zhihu.com/question/20664401/answer/655941584,"价值观, 信仰, 中国, 宗教",2024-12-07
信仰生命,https://www.zhihu.com/question/311510112/answer/603154453,"错得对, 价值观, 信仰",2024-12-07
肉公基,https://afdian.com/p/ae581c8cb3dd11efa26352540025c377,"SOP, 功夫, 基本技能, 投资, 元技能",2024-12-06
程门雪,https://www.zhihu.com/question/629592578/answer/3290214403,"补弱/补强, 求教, 态度, 学习",2024-12-06
美德,https://www.zhihu.com/question/403395713/answer/1310486606,"Poetic Irony, 道德, 怀疑的艺术, 伦理, 美德",2024-12-06
学的必要,https://afdian.com/p/d30ded7a90e411ef84015254001e7c00,"神性享乐, 学习, 娱乐",2024-12-06
无要求抑郁,https://afdian.com/p/27a4326eb38011efaa2452540025c377,"反抑郁, 旷野, 抑郁, 子女教育",2024-12-05
猫王,https://afdian.com/p/2ea332ccb36211efb66f5254001e7c00,"旷野, 伦理, 人格, 元规则",2024-12-05
兑换银钱的人,https://www.zhihu.com/question/523693204/answer/2404712651,"国际关系, 金融, 经济, 历史, 世界史, 政治",2024-12-05
为政以德,https://www.zhihu.com/question/486860691/answer/2121191656,"帝国, 帝国主义, 国际政治, 历史, 政治",2024-12-05
糊涂账,https://www.zhihu.com/question/667713785/answer/3632849636,"怀疑的艺术, 民族主义, 意识形态, 语文",2024-12-05
否定女权的父亲,https://www.zhihu.com/question/412076145/answer/1729020018,"沟通, 女权, 讨论, 原则",2024-12-04
平权,https://www.zhihu.com/question/298105587/answer/509627202,"女权, 平等, 权利, 自由",2024-12-04
大流士,https://afdian.com/p/6655b9fab22811ef92f152540025c377,"策略, 集体, 决策, 子女教育, 自然法",2024-12-03
先脱鞋,https://www.zhihu.com/question/22045490/answer/47593261902?utm_psn=1847672854071623683,"怀疑的艺术, 历史, 世界史, 中国",2024-12-03
真诚的不老实,https://afdian.com/p/676fefd84ed511ef948c52540025c377,"老实, 亲密关系, 英勇, 真诚",2024-12-03
水母阴姬,https://www.zhihu.com/question/652586232/answer/3468342835,"策略, 人际关系, 社会化",2024-12-03
以我之名,https://afdian.com/p/af816424b13a11efb2b452540025c377,"补弱/补强, 人际关系, 人际交往, 社会化",2024-12-02
大道理,https://www.zhihu.com/question/492265143/answer/2170473726,"价值观, 历史, 子女教育",2024-12-02
亲子冲突,https://www.zhihu.com/question/425223995/answer/1681849717,"爱, 道歉, 亲子关系, 原谅",2024-12-02
入门弓,https://www.zhihu.com/question/57637763/answer/582404142?utm_psn=1846929751542988800,"策略, 弓箭, 投资",2024-12-01
内向罪,https://afdian.com/p/fcd5dc12b04c11ef9ae652540025c377,"礼仪, 内向, 社会化, 社交, 信仰",2024-12-01
宠儿出路,https://www.zhihu.com/question/525511687/answer/3616021073,"美人, 女性, 天赋, 责任, 自然法",2024-12-01
真心祝福,https://afdian.com/p/4f5afcc4756a11ef9c9b52540025c377,"爱, 怀疑的艺术, 净输出, 祝福",2024-12-01
敌人,https://www.zhihu.com/question/435674438/answer/1637194381,"策略, 敌人, 竞争, 人际关系, 组织伦理",2024-12-01
从不休假,https://www.zhihu.com/question/452573085/answer/45180622079?utm_psn=1846603781686583297,"Poetic Irony, 财富, 财富观, 驱动力, 事业, 休息",2024-11-30
腾蛇,https://www.zhihu.com/question/600275140/answer/3446788640,"动物, 科普, 神话, 世界史",2024-11-30
高尔顿钉板,https://www.zhihu.com/question/264824299/answer/2726367727,"亲子关系, 自然法, 尊重",2024-11-30
暴力债,https://www.zhihu.com/question/407247948/answer/44460736197?utm_psn=1846210689083002880,"暴力, 策略, 家族, 亲子关系",2024-11-29
痛而不苦,https://www.zhihu.com/question/491193236/answer/2626886968,"反脆弱, 怀疑的艺术, 亲子关系, 痛苦, 自我认知",2024-11-29
师生一场,https://www.zhihu.com/question/634135058/answer/3326101761,"爱, 反抑郁, 伦理, 权柄, 师生关系",2024-11-29
不服从管理,https://www.zhihu.com/question/35344560/answer/2244184465,"管理, 领导, 组织伦理",2024-11-29
大概聪明,https://afdian.com/p/6aa782beadc211ef83765254001e7c00,"聪明, 会计, 元技能",2024-11-28
宗教的价值,https://www.zhihu.com/question/20120014/answer/2172958952,"信仰, 意识形态, 宗教",2024-11-28
宗教的意义,https://www.zhihu.com/question/28452782/answer/1900624848,"信仰, 意识形态, 宗教",2024-11-28
赏赏罚罚,https://afdian.com/p/68c5cb7a7ad411ef86905254001e7c00,"策略, 管理, 赏罚分明, 原则, 组织伦理",2024-11-27
慈善,https://www.zhihu.com/question/24064243/answer/533635981,"爱, 财富观, 慈善, 可持续性",2024-11-27
有效同意,https://www.zhihu.com/question/612388977/answer/41898008731?utm_psn=1845072097338077184,"婚姻, 亲密关系, 原则",2024-11-26
釜底薪,https://afdian.com/p/e775ccccac1b11efbe9d52540025c377,"财富观, 价值观, 会计, 社会化, 子女教育",2024-11-26
多语化,https://www.zhihu.com/question/422151163/answer/1495123471,"思考, 文化, 语文, 语言, 元技能",2024-11-26
大洪水,https://www.zhihu.com/question/20389853/answer/3071093964,"地理, 怀疑的艺术, 历史, 神话, 世界史",2024-11-26
不表而白,https://afdian.com/p/9c028d2635a511efaf715254001e7c00,"爱, 补强, 补弱/补强, 恋爱, 亲密关系",2024-11-26
气质的配方,https://afdian.com/p/3999c70c6a8f11ef93695254001e7c00,"功夫, 美, 气质, 艺术",2024-11-25
地气,https://www.zhihu.com/question/20003863/answer/2537578636,"沟通, 净输出, 会计, 社会化, 影响力",2024-11-25
气候异常时代,https://www.zhihu.com/question/474264183/answer/2018027733,"备灾, 风险管理, 社会治理, 世界史",2024-11-25
欣赏,https://www.zhihu.com/question/389418584/answer/2061630117,"表达, 功夫, 美, 审美, 欣赏, 艺术, 艺术修养",2024-11-24
欣赏欲,https://www.zhihu.com/question/40157898/answer/2272863505,"美, 审美, 神性享乐, 欣赏, 艺术, 欲望",2024-11-24
